Dept,Course Number,Section,Course Title,Instructor,Book Title,Book URL,Image URL,,
EXST,7014,1,Experimental Statistics II,Guo,Statistical Methods,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123749703,http://www.syndetics.com/index.aspx?isbn=9780123749703/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
EXST,7015,"1,2",Statistical Techniques II ,Li,Statistical Methods,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123749703,http://www.syndetics.com/index.aspx?isbn=9780123749703/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
FIN,4830,1,Analysis of Corporate Financial Statements,Kilbourne,Financial Statement Analysis: A Practitioner's Guide,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9781119201489,http://www.syndetics.com/index.aspx?isbn=9780470635605/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
FIN,4830,2,Analysis of Corporate Financial Statements,Kilbourne,Financial Statement Analysis: A Practitioner's Guide,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9781119201489,http://www.syndetics.com/index.aspx?isbn=9780470635605/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
GEOG,4029,1,Coastal Resources and Management,Marks,"American Energy, Imperiled Coast: Oil and Gas Development in Louisiana's Wetlands",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780807155189/,http://www.syndetics.com/index.aspx?isbn=9780807155172/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
GEOG,4029,1,Coastal Resources and Management,Marks,Climate Change and the Coast: Building Resilient Communities,http://libezp.lib.lsu.edu/login?url=http://www.crcnetbase.com/isbn/9781482288582,http://www.syndetics.com/index.aspx?isbn=9781482288582/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
GEOG,4029,1,Coastal Resources and Management,Marks,Quagmire: Nation-Building and Nature in the Mekong Delta,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780295801544/,http://www.syndetics.com/index.aspx?isbn=9780295801544/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
GEOG,4029,1,Coastal Resources and Management,Marks,"Designing the Bayous: The Control of Water in the Atchafalaya Basin, 1800-1995",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9781603446327/,http://www.syndetics.com/index.aspx?isbn=9781603446327/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
GEOL,4012,1,Introduction to Micropaleontology,Bart,Microfossils,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9781118685440,http://www.syndetics.com/index.aspx?isbn=9780632052790/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,1007,2,World History Since 1500,Cole,"Ecological Imperialism: The Biological Expansion of Europe, 900-1900",http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511805554,http://www.syndetics.com/index.aspx?isbn=9780521837323/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,2055,3,US to 1865,Burstein,"Slave Life in Virginia and Kentucky: A Narrative by Francis Fedric, Escaped Slave",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780807138052/,http://www.syndetics.com/index.aspx?isbn=9780807138052/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,3071,1,Louisiana,Long,Jim Crow's Last Stand: Nonunanimous Criminal Jury Verdicts in Louisiana,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9780807159002/,http://www.syndetics.com/index.aspx?isbn=9780807158999/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,3119,2,History of the North American Indian,Johnson,The Native Ground: Indians and Colonists in the Heart of the Continent,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780812201826/,http://www.syndetics.com/index.aspx?isbn=9780812201826/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,4011,1,Age of Reformation,Kooi,"Cautio Criminalis, or a Book on Witch Trials",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780813934174/,http://www.syndetics.com/index.aspx?isbn=9780813934174/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,4064,1,"Diplomatic History of the United States, 1914 to the Present",Culbert,Vietnam Declassified: The CIA and Counterinsurgency,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780813173573/,http://www.syndetics.com/index.aspx?isbn=9780813173573/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,7904,1,American Historiography and Criticism,Foster,That Noble Dream The 'Objectivity Question' and the American Historical Profession,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1017/CBO9780511816345,http://www.syndetics.com/index.aspx?isbn=9780521343282/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,7956,1,Reading Seminar in American History 1865-,Shindo,The Other Women's Movement Workplace Justice and Social Rights in Modern America,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9781400840861/,http://www.syndetics.com/index.aspx?isbn=9781400840861/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,7970,1,Reading Seminar in Comparative History,Alam,Tensions of Empire: Colonial Cultures in a Bourgeois World,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780520918085/,http://www.syndetics.com/index.aspx?isbn=9780520918085/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HIST,7970,1,Reading Seminar in Comparative History,Alam,Three Ways to Be Alien: Travails and Encounters in the Early Modern World,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9781611680195/,http://www.syndetics.com/index.aspx?isbn=9781611680195/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HNRS,2020,1,See How They Run 2016,Mann,"Daisy Petals and Mushroom Clouds LBJ, Barry Goldwater, and the Ad That Changed American Politics",http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/book/16595,http://www.syndetics.com/index.aspx?isbn=9780807142936/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
HNRS,3025,1,LA on the Mississippi,Willson,An Unnatural Metropolis Wresting New Orleans from Nature,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780807147818/,http://www.syndetics.com/index.aspx?isbn=9780807147818/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,2065,"1,2",Elementary Differential Equations,Nguyen,Ordinary Differential Equations,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-1-4614-3618-8,http://www.syndetics.com/index.aspx?isbn=9781461436188/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,2065,"3,4",Elementary Differential Equations,Moscatello,Ordinary Differential Equations,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-1-4614-3618-8,http://www.syndetics.com/index.aspx?isbn=9781461436188/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,2070,1,Mathematical Methods in Engineering,Bourdin,Ordinary Differential Equations,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-1-4614-3618-8,http://www.syndetics.com/index.aspx?isbn=9781461436188/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,4031,1,Advanced Calculus I,Richardson,Advanced Calculus: An Introduction to Linear Analysis,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9781118032411,http://www.syndetics.com/index.aspx?isbn=9781118030677/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,7311,1,Real Analysis I,Davidson,Measure and Integration a Concise Introduction to Real Analysis,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1002/9780470501153,http://www.syndetics.com/index.aspx?isbn=9780470259542/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MATH,7390,1,Calculus of Variations and Optimal Control,Wolenski,Iterative Methods for Sparse Linear Systems,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1137/1.9780898718003,http://www.syndetics.com/index.aspx?isbn=9780898715347/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ME,4763,1,Fundamentals of Corrosion Science and Engineering,Park,Introduction to Corrosion Science,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1007/978-1-4419-0455-3,http://www.syndetics.com/index.aspx?isbn=9781441904553/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ME,7313,1,Advanced Fluid Dynamics I,Wong,Fluid Mechanics,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123821003,http://www.syndetics.com/index.aspx?isbn=9780123821003/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
ME,7433,1,Advanced Heat Transfer I,Schoegl,Radiative Heat Transfer,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123869449,http://www.syndetics.com/index.aspx?isbn=9780123869449/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MEDP,7537,1,Radiation Interactions and Transport,Newhauser,Introduction to Radiological Physics and Radiation Dosimetry,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9783527617135,http://www.syndetics.com/index.aspx?isbn=9780471011460/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
MUS,3334,1,Group Piano V,Pike,Keyboard Skills for Music Educators: Score Reading,http://libezp.lib.lsu.edu/login?url=http://www.tandfebooks.com/isbn/9780203808085,http://www.syndetics.com/index.aspx?isbn=9780203808085/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
OCS,3103,1,Global Environmental Cycles,Maiti,Biogeochemistry: An Analysis of Global Change,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123858740,http://www.syndetics.com/index.aspx?isbn=9780123858740/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
OCS,4308,1,Plants in Coastal Environments,Quirk,Wetland Plants Biology and Ecology,http://libezp.lib.lsu.edu/login?url=http://www.crcnetbase.com/isbn/9781420032925,http://www.syndetics.com/index.aspx?isbn=9781420032925/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
OCS,4372,1,Estuarine Ecology,Twilley,Estuarine Ecology,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1002/9781118412787,http://www.syndetics.com/index.aspx?isbn=9781118412787/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PETE,2032,1,Reservoir Fluid Properties,Williams,The Properties of Petroleum Fluids,http://libezp.lib.lsu.edu/login?url=http://app.knovel.com/web/toc.v/cid:kpPPFE0002,http://www.syndetics.com/index.aspx?isbn=9780878143351/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PETE,3025,1,Economic Aspects of Petroleum Production,Veazey,"Project Economics and Decision Analysis. Volume 1, Deterministic Models",http://libezp.lib.lsu.edu/login?url=http://app.knovel.com/web/toc.v/cid:kpPEDAVDM1,http://www.syndetics.com/index.aspx?isbn=9780878148196/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PETE,3025,1,Economic Aspects of Petroleum Production,Veazey,"Project Economics and Decision Analysis. Volume 2, Probabilistic Models",http://libezp.lib.lsu.edu/login?url=http://app.knovel.com/web/toc.v/cid:kpPEDAVPM3,http://www.syndetics.com/index.aspx?isbn=9780878148554/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PETE,4051,1,Reserve Estimation and Reservoir Management,Almeida,Applied Petroleum Reservoir Engineering,http://libezp.lib.lsu.edu/login?url=http://proquestcombo.safaribooksonline.com/?uiCode=lsubr&xmlId=9780133155648,http://www.syndetics.com/index.aspx?isbn=9780133155587/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PHIL,1001,1,Honors: Introduction to Philosophy,Raffoul,The Origins of Responsibility,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780253004222/,http://www.syndetics.com/index.aspx?isbn=9780253004222/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PHIL,4003,1,Contemporary French Philosophy,Raffoul,The Origins of Responsibility,http://libezp.lib.lsu.edu/login?url=http://muse.jhu.edu/books/9780253004222/,http://www.syndetics.com/index.aspx?isbn=9780253004222/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PHIL,4914,1,Philosophy of Language,Roland,Philosophy of Language,http://libezp.lib.lsu.edu/login?url=https://muse.jhu.edu/books/9781400833931/,http://www.syndetics.com/index.aspx?isbn=9781400833931/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PHYS,2411,1,Computational Science I,,Computational Physics Problem Solving with Computers,http://libezp.lib.lsu.edu/login?url=http://dx.doi.org/10.1002/9783527618835,http://www.syndetics.com/index.aspx?isbn=9783527406265/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PHYS,7537,1,Radiation Interactions and Transport,Newhauser,Introduction to Radiological Physics and Radiation Dosimetry,http://libezp.lib.lsu.edu/login?url=http://onlinelibrary.wiley.com/book/10.1002/9783527617135,http://www.syndetics.com/index.aspx?isbn=9780471011460/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
PLHL,7063,1,Plant Metabolism,Moroney,Plant Biochemistry,http://libezp.lib.lsu.edu/login?url=http://www.sciencedirect.com/science/book/9780123849861,http://www.syndetics.com/index.aspx?isbn=9780123849861/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
POLI,4040,1,Military History,Sobek,Oxford History of Modern War,http://resolver.ebscohost.com/Redirect/PRL?EPPackageLocationID=713.170412.828190&epcustomerid=s8491974&db=713  ,http://www.syndetics.com/index.aspx?isbn=9780192806451/LC.GIF&client=louislibnet&type=xw12&upc=&oclc=299047518&,,
